idCompra;idCompraItem;idContratacaoPNCP;orgaoEntidadeCnpj;descricaoResumida;descricaodetalhada;materialOuServico;codItemCatalogo;unidadeMedida;quantidade;valorUnitarioEstimado;valorTotal;valorUnitarioResultado;valorTotalResultado;quantidadeResultado;codFornecedor;nomeFornecedor;dataInclusaoPncp;dataAtualizacaoPncp;dataResultado
98803905900822024;9880390590082202400001;83102285000107-1-000442/2024;83102285000107;Cardiologia - Teste Ergométrico (Te) em Bicicleta ou em  Es-teira;Aquisição de Sistema de Ergometria com no mínimo 13 derivações   12 derivações clássicas (DI, DII, DIII, aVR, aVL, aVF, V1 a V6), mais a derivação CM5 REAL.  1 - Conector para o cabo de paciente: Conector do tipo DB15 tipo fêmea destinado à conexão com o cabo do paciente.  2 - Pulso de Sincronismo: Acesso ao pulso de sincronismo.  3 - Conector de comunicação com o microcomputador: conector do tipo USB no qual será conectado o cabo USB de conexão com o microcomputador. É por este conector que trafegarão os sinais da comunicação padrão USB entre o eletrocardiógrafo e o microcomputador. Este conector serve tanto como saída de sinais do eletrocardiógrafo, quanto, como entrada de comandos de comunicação vindos do microcomputador. Ao mesmo tempo, o eletrocardiógrafo é energizado é energizado em 5V por este mesmo conector/cabo USB.;S;6505.0;  UN;1.0;23319.65;23319.65;18500.0;18500.0;1.0;21552695000194;MEDICAL SIL COMERCIO DE EQUIPAMENTOS ODONTO MEDICO HOSPITALAR LTDA;2024-09-19 07:09:05;2024-10-07 16:26:52;
98656305900592024;9865630590059202400005;46316600000164-1-000239/2024;46316600000164;Pão;PÃO, BASE DE FARINHA DE TRIGO REFINADA, TIPO TIPO FRANÇÊS/DE SAL, TIPOADICIONAL BISNAGA, INGREDIENTES ADICIONAIS DE ALHO, APRESENTAÇÃO FRESCO/RESFRIADO, TIPO EMBALAGEM EMBALAGEM INDIVIDUAL;M;460400.0;Embalagem 300,00 G;1.0;14.62;14.62;14.04;14.04;1.0;05471234000130;JV - ALIMENTOS LTDA.;2024-11-26 07:09:16;2024-12-19 12:06:17;
98692106901152024;9869210690115202400031;46177531000155-1-000109/2024;46177531000155;Tnt;TNT, GRAMATURA 100 G/M2, COR BRANCA, LARGURA 1,40 M;M;300805.0;Unidade  ;3.0;494.25;1482.75;249.99;749.97;3.0;51647234000166;FC DISTRIBUIDORA TEXTIL LTDA;2024-10-31 15:54:22;2024-11-22 13:01:15;
98788505900542024;9878850590054202400017;76105543000135-1-000085/2024;76105543000135;Swab;SWAB, MATERIAL HASTE PLÁSTICA, TIPO PONTA PONTA EM ALGODÃO HIDRÓFILO E RAYON,APRESENTAÇÃO* EMBALAGEM INDIVIDUAL, ESTERILIDADE ESTÉRIL, TIPO DE USODESCARTÁVEL;M;480902.0;Unidade;32000.0;0.27;8640.0;0.13;4160.0;32000.0;34182886000153;SEVEN PRODUTOS LABORATORIAIS PARA DIAGNOSTICO LTDA;2024-07-15 07:00:17;2024-11-07 09:58:46;
98715105900242024;9871510590024202400003;46523056000121-1-000058/2024;46523056000121;Sal;SAL, TIPO REFINADO, APLICAÇÃO ALIMENTÍCIA, CARACTERÍSTICAS ADICIONAIS TEORMÍNIMO CLORETO DE SÓDIO 98,5%;M;291893.0;Pacote 1,00 KG;1000.0;2.57;2570.0;2.56;2560.0;1000.0;53721309000137;MERENDA PRIME COMERCIO DE ALIMENTOS LTDA;2024-07-17 07:11:47;2024-10-02 11:17:14;
98647505900492024;9864750590049202400546;44959021000104-1-000305/2024;44959021000104;Pia;Pia Material: Aço Inoxidável , Tipo: Liso , Comprimento: 180 CM, Largura: 55 CM, Quantidade Cubas: 1 UN, Comprimento Cubas: 55 CM, Largura Cubas: 34 CM, Profundidade Cubas: 15 CM, Características Adicionais: Escorredor Duplo, Cuba Central;M;481480.0;Unidade;204.0;3934.69;802676.76;3934.6;802658.4;204.0;02885024000109;H. S. COMERCIO E SERVICOS LTDA;2024-10-02 07:30:10;2024-11-28 16:00:00;
98636105900372024;9863610590037202400001;46523049000120-1-000203/2024;46523049000120;Transporte Rodoviário - Pessoal por Automóveis;"Prestação de serviços de transporte escolar gratuito - TEG - Ônibus urbano tipo Escolar 44 lugares - Conforme as especificações do Termo de Referência Anexo I e demais anexos do Edital;";S;3239.0;UNIDADE;1680.0;29051.57;48806637.6;28650.0;48132000.0;1680.0;55607824000116;VALLE VIACAO LTDA;2024-08-14 07:17:04;2024-09-09 12:21:36;
98059505900082024;9805950590008202400004;22980999000115-1-000150/2024;22980999000115;Botijão Para Gás;;M;;Unidade  ;4.0;1486.0;5944.0;;;;;;2024-11-29 07:22:18;2024-11-29 07:22:18;
98658905901202024;9865890590120202400010;46694139000183-1-001263/2024;46694139000183;Macacão;Macacão Material: Solasol, Componentes: Algodão Cardado, Composição: 100PER, Tipo Uso: Área Risco De Incêndio, Cor: Cáqui, Tamanho: Médio, Características Adicionais: Proteção Com Teflon Para Repelir Água E Óleo;M;221026.0;Unidade;132.0;349.51;46135.32;;;;;;2024-10-08 07:15:58;2024-11-05 09:00:07;
98583705900392024;9858370590039202400024;28741080000155-1-000038/2024;28741080000155;Cola;Cola Composição: Adesivo A Base D'Água , Aplicação: Papel, Couro E Tecido , Tipo: Foil;M;619622.0;Frasco 1,00 KG;400.0;18.46;7384.0;11.16;4464.0;400.0;23681312000103;LC LOG REPRESENTACOES COMERCIO E SERVICOS LTDA;2024-09-19 07:22:56;2024-12-13 10:41:48;
98585306900032024;9858530690003202400001;29131075000193-1-000135/2024;29131075000193;Bomba;Bomba Vazão: 120 L/H, Tensão Alimentação: 2,5 A 6 V, Características Adicionais: Micro Bomba De Água Submersível;M;607508.0;Unidade  ;1.0;198.4;198.4;198.4;198.4;1.0;46344050000197;SUL AGUA EQUIPAMENTOS LTDA;2024-09-27 16:43:49;2024-10-29 09:56:16;
C-2024-B2-INFO;I-2024-B2-INFO;29477000000180-1-2024-00B201;29477000000180;Papel info;PAPEL SULFITE A4 75G RESMA 500 FOLHAS;M;123456;UN;4;5.00;20.00;5.00;20.00;4;55666777000193;COMERCIO INFO LTDA;2023-10-01;2023-10-01;2024-03-15
C-2024-B2-FUTURE;I-2024-B2-FUTURE;29477000000180-1-2024-00B202;29477000000180;Papel futuro;PAPEL SULFITE A4 75G RESMA 500 FOLHAS;M;123456;UN;4;5.00;20.00;5.00;20.00;4;66777888000104;COMERCIO FUTURO LTDA;2024-03-15;2024-03-15;
C-2024-B2-NOOPEN;I-2024-B2-NOOPEN;29477000000180-1-2024-00B203;29477000000180;Papel sem abertura;PAPEL SULFITE A4 75G RESMA 500 FOLHAS;M;123456;UN;4;5.00;20.00;5.00;20.00;4;77888999000115;COMERCIO SEM RECEITA LTDA;2024-03-15;2024-03-15;
C-2024-B2-NOAWARD;I-2024-B2-NOAWARD;29477000000180-1-2024-00B204;29477000000180;Papel sem award;PAPEL SULFITE A4 75G RESMA 500 FOLHAS;M;123456;UN;4;5.00;20.00;5.00;20.00;4;88999000000126;COMERCIO SEM AWARD LTDA;;;
C-2024-B3-OVER-1;I-2024-B3-OVER-1;29477000000180-1-2024-00B301;29477000000180;Toner;TONER COMPATIVEL IMPRESSORA LASER;M;880111;UN;1;23962.41;23962.41;23962.41;23962.41;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-02-10;2024-02-10;2024-02-10
C-2024-B3-OVER-2;I-2024-B3-OVER-2;29477000000180-1-2024-00B302;29477000000180;Toner;TONER COMPATIVEL IMPRESSORA LASER;M;880111;UN;1;23962.41;23962.41;23962.41;23962.41;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-06-10;2024-06-10;2024-06-10
C-2024-B3-OVER-3;I-2024-B3-OVER-3;29477000000180-1-2024-00B303;29477000000180;Toner;TONER COMPATIVEL IMPRESSORA LASER;M;880111;UN;1;23962.41;23962.41;23962.41;23962.41;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-10-10;2024-10-10;2024-10-10
C-2024-B3-BIG-1;I-2024-B3-BIG-1;29477000000180-1-2024-00B304;29477000000180;Cartucho;CARTUCHO TINTA IMPRESSORA;M;880222;UN;1;59906.02;59906.02;59906.02;59906.02;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-03-01;2024-03-01;2024-03-01
C-2024-B3-BIG-2;I-2024-B3-BIG-2;29477000000180-1-2024-00B305;29477000000180;Cartucho;CARTUCHO TINTA IMPRESSORA;M;880222;UN;1;5990.60;5990.60;5990.60;5990.60;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-03-20;2024-03-20;2024-03-20
C-2024-B3-CLUSTER-1;I-2024-B3-CLUSTER-1;29477000000180-1-2024-00B306;29477000000180;Cilindro;CILINDRO FOTCONDUTOR;M;880333;UN;1;54514.48;54514.48;54514.48;54514.48;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-03-01;2024-03-01;2024-03-01
C-2024-B3-CLUSTER-2;I-2024-B3-CLUSTER-2;29477000000180-1-2024-00B307;29477000000180;Cilindro;CILINDRO FOTCONDUTOR;M;880333;UN;1;54514.48;54514.48;54514.48;54514.48;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-04-01;2024-04-01;2024-04-01
C-2024-B3-CLUSTER-3;I-2024-B3-CLUSTER-3;29477000000180-1-2024-00B308;29477000000180;Cilindro;CILINDRO FOTCONDUTOR;M;880333;UN;1;54514.48;54514.48;54514.48;54514.48;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-05-15;2024-05-15;2024-05-15
C-2024-B3-OTHERCLS;I-2024-B3-OTHERCLS;29477000000180-1-2024-00B309;29477000000180;Revelador;REVELADOR TONER;M;880444;UN;1;5990.60;5990.60;5990.60;5990.60;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-02-15;2024-02-15;2024-02-15
C-2024-B3-PREGAO-1;I-2024-B3-PREGAO-1;29477000000180-1-2024-00B310;29477000000180;Kit;KIT MANUTENCAO IMPRESSORA;M;880555;UN;1;23962.41;23962.41;23962.41;23962.41;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-02-10;2024-02-10;2024-02-10
C-2024-B3-PREGAO-2;I-2024-B3-PREGAO-2;29477000000180-1-2024-00B311;29477000000180;Kit;KIT MANUTENCAO IMPRESSORA;M;880555;UN;1;23962.41;23962.41;23962.41;23962.41;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-06-10;2024-06-10;2024-06-10
C-2024-B3-PREGAO-3;I-2024-B3-PREGAO-3;29477000000180-1-2024-00B312;29477000000180;Kit;KIT MANUTENCAO IMPRESSORA;M;880555;UN;1;23962.41;23962.41;23962.41;23962.41;1;44555666000172;FINANCEIRA EXEMPLO SA;2024-10-10;2024-10-10;2024-10-10
C-2025-B3-OTHERYR-1;I-2025-B3-OTHERYR-1;29477000000180-1-2025-00B313;29477000000180;Papel foto;PAPEL FOTOGRAFICO A4;M;880666;UN;1;30657.90;30657.90;30657.90;30657.90;1;44555666000172;FINANCEIRA EXEMPLO SA;2025-03-01;2025-03-01;2025-03-01
C-2025-B3-OTHERYR-2;I-2025-B3-OTHERYR-2;29477000000180-1-2025-00B314;29477000000180;Papel foto;PAPEL FOTOGRAFICO A4;M;880666;UN;1;30657.90;30657.90;30657.90;30657.90;1;44555666000172;FINANCEIRA EXEMPLO SA;2025-06-01;2025-06-01;2025-06-01
C-2025-D1-VR;I-2025-D1-VR;29477000000180-1-2025-00D101;29477000000180;Papel A4;PAPEL SULFITE A4 75G RESMA 500 FOLHAS;M;990101;UN;10;5.00;50.00;5.00;50.00;10;44555666000172;FINANCEIRA EXEMPLO SA;2025-04-15;2025-04-15;2025-04-15
C-2025-D1-NIT;I-2025-D1-NIT;28521748000159-1-2025-00D101;28521748000159;Detergente;DETERGENTE NEUTRO CONCENTRADO 5L;M;990102;UN;8;15.00;120.00;15.00;120.00;8;44555666000172;FINANCEIRA EXEMPLO SA;2025-04-20;2025-04-20;2025-04-20
C-2025-D1-BAU;I-2025-D1-BAU;46137410000180-1-2025-00D101;46137410000180;Papel A4;PAPEL SULFITE A4 75G RESMA 500 FOLHAS;M;990103;UN;16;5.00;80.00;5.00;80.00;16;44555666000172;FINANCEIRA EXEMPLO SA;2025-05-12;2025-05-12;2025-05-12
C-2026-D1-VR;I-2026-D1-VR;29477000000180-1-2026-00D101;29477000000180;Papel A4;PAPEL SULFITE A4 75G RESMA 500 FOLHAS;M;990201;UN;10;5.00;50.00;5.00;50.00;10;44555666000172;FINANCEIRA EXEMPLO SA;2026-02-15;2026-02-15;2026-02-15
C-2026-D1-NIT;I-2026-D1-NIT;28521748000159-1-2026-00D101;28521748000159;Detergente;DETERGENTE NEUTRO CONCENTRADO 5L;M;990202;UN;8;15.00;120.00;15.00;120.00;8;44555666000172;FINANCEIRA EXEMPLO SA;2026-03-20;2026-03-20;2026-03-20
C-2026-D1-BAU;I-2026-D1-BAU;46137410000180-1-2026-00D101;46137410000180;Papel A4;PAPEL SULFITE A4 75G RESMA 500 FOLHAS;M;990203;UN;16;5.00;80.00;5.00;80.00;16;44555666000172;FINANCEIRA EXEMPLO SA;2026-04-12;2026-04-12;2026-04-12
C-2024-B4-PUB;I-2024-B4-PRICE;29477000000180-1-2024-00B401;29477000000180;Papel B4 price;PAPEL SULFITE A4 B4 PRICE;M;123456;UN;10;5.00;50.00;5.00;50.00;10;44555666000172;FINANCEIRA EXEMPLO SA;2024-03-01;2024-03-01;2024-03-01
C-2024-B4-PUB;I-2024-B4-QTY;29477000000180-1-2024-00B401;29477000000180;Papel B4 qty;PAPEL SULFITE A4 B4 QTY;M;123456;UN;10;5.00;50.00;5.00;50.00;10;44555666000172;FINANCEIRA EXEMPLO SA;2024-03-01;2024-03-01;2024-03-01
C-2024-B4-PUB;I-2024-B4-SUPPLIER;29477000000180-1-2024-00B401;29477000000180;Papel B4 supplier;PAPEL SULFITE A4 B4 SUPPLIER;M;123456;UN;10;5.00;50.00;5.00;50.00;10;44555666000172;FINANCEIRA EXEMPLO SA;2024-03-01;2024-03-01;2024-03-01
C-2024-B4-PUB;I-2024-B4-DESC;29477000000180-1-2024-00B401;29477000000180;Papel B4 desc;PAPEL SULFITE A4 B4 DESC;M;123456;UN;10;5.00;50.00;5.00;50.00;10;44555666000172;FINANCEIRA EXEMPLO SA;2024-03-01;2024-03-01;2024-03-01
C-2024-B4-PUB;I-2024-B4-SAME;29477000000180-1-2024-00B401;29477000000180;Papel B4 same;PAPEL SULFITE A4 B4 SAME;M;123456;UN;10;5.00;50.00;5.00;50.00;10;44555666000172;FINANCEIRA EXEMPLO SA;2024-03-01;2024-03-01;2024-03-01
C-2024-B4-PREPUB;I-2024-B4-PREPUB;29477000000180-1-2024-00B402;29477000000180;Papel B4 prepub;PAPEL SULFITE A4 B4 PREPUB;M;123456;UN;10;5.00;50.00;5.00;50.00;10;44555666000172;FINANCEIRA EXEMPLO SA;;2024-01-10;
C-2024-B5-HIT-FOOD;I-2024-B5-HIT-FOOD;29477000000180-1-2024-00B501;29477000000180;Arroz B5;ARROZ BRANCO TIPO 1 B5 CEREAL;M;892011;KG;4;5.00;20.00;5.00;20.00;4;99001122000108;B5 FINANCE ALIMENTOS LTDA;2024-03-15;2024-03-15;2024-03-15
C-2024-B5-HIT-HOME;I-2024-B5-HIT-HOME;29477000000180-1-2024-00B502;29477000000180;Grampeador B5;GRAMPEADOR MESA METALICO B5 ESCRITORIO;M;751011;UN;4;5.00;20.00;5.00;20.00;4;99002233000119;B5 DOMESTICO MATERIAIS LTDA;2024-03-15;2024-03-15;2024-03-15
C-2024-B5-HIT-OUT;I-2024-B5-HIT-OUT;29477000000180-1-2024-00B503;29477000000180;Arroz B5 fora;ARROZ BRANCO TIPO 1 B5 CEREAL;M;892011;KG;4;5.00;20.00;5.00;20.00;4;99003344000120;B5 SOFTWARE ALIMENTOS LTDA;2024-03-15;2024-03-15;2024-03-15
C-2024-B5-CLEAN-PRI;I-2024-B5-CLEAN-PRI;29477000000180-1-2024-00B504;29477000000180;Arroz B5 limpo;ARROZ BRANCO TIPO 1 B5 CEREAL;M;892011;KG;4;5.00;20.00;5.00;20.00;4;99004455000131;B5 BENEFICIAMENTO ARROZ LTDA;2024-03-15;2024-03-15;2024-03-15
C-2024-B5-CLEAN-SEC;I-2024-B5-CLEAN-SEC;29477000000180-1-2024-00B505;29477000000180;Arroz B5 sec;ARROZ BRANCO TIPO 1 B5 CEREAL;M;892011;KG;4;5.00;20.00;5.00;20.00;4;99005566000142;B5 SECUNDARIA ALIMENTOS LTDA;2024-03-15;2024-03-15;2024-03-15
C-2024-B5-CLEAN-UNMAP;I-2024-B5-CLEAN-UNMAP;29477000000180-1-2024-00B506;29477000000180;Classe B5;ITEM CLASSE NAO MAPEADA B5;M;999911;UN;4;5.00;20.00;5.00;20.00;4;99001122000108;B5 FINANCE ALIMENTOS LTDA;2024-03-15;2024-03-15;2024-03-15
C-2024-B5-CLEAN-NOCNAE;I-2024-B5-CLEAN-NOCNAE;29477000000180-1-2024-00B507;29477000000180;Arroz B5 sem cnae;ARROZ BRANCO TIPO 1 B5 CEREAL;M;892011;KG;4;5.00;20.00;5.00;20.00;4;99007788000164;B5 SEM CNAE LTDA;2024-03-15;2024-03-15;2024-03-15
C-2024-B5-CLEAN-NOCAT;I-2024-B5-CLEAN-NOCAT;29477000000180-1-2024-00B508;29477000000180;Item B5 sem catmat;WIBBLEFLUX QUANTUM WIDGET ZX9Q;M;;UN;4;5.00;20.00;5.00;20.00;4;99001122000108;B5 FINANCE ALIMENTOS LTDA;2024-03-15;2024-03-15;2024-03-15
C-2024-B5-CLEAN-SERV;I-2024-B5-CLEAN-SERV;29477000000180-1-2024-00B509;29477000000180;Servico B5;SERVICO B5 AVULSO;S;10002;UN;4;5.00;20.00;5.00;20.00;4;99001122000108;B5 FINANCE ALIMENTOS LTDA;2024-03-15;2024-03-15;2024-03-15
98010505900042024;9801050590004202400001;04508933000145-1-000005/2024;04508933000145;Obras civis de pavimentação asfáltica;Contratação de empresa para execução dos serviços de manutenção viária, em atendimento as demandas da Secretaria Municipal de Obras da Prefeitura municipalde Brasiléia/AC.;S;1406.0;UNIDADE;1.0;4000000.0;4000000.0;3000000.0;3000000.0;1.0;15017690000169;CONSTRUTORA NOVO TEMPO LTDA;2024-07-31 07:10:01;2024-11-06 10:38:37;2024-11-06
98015503900042024;9801550390004202400001;04051207000146-1-000008/2024;04051207000146;Obras civis de edificação prediais;Obras civis de edificação prediais - Contratação de Empresa de Engenharia Civil para a Execução dos Serviços de Construção de uma Feira Livre no Município de Manoel Urbano Estado do Acre, conforme regras e exigências contidas no Edital e seus anexos   CONVÊNIO PLATAFORMA +BRASIL N° 937258/2022   PROPOSTA Nº 016973/2022.;S;1619.0;UNIDADE;1.0;1000947.33;1000947.33;750810.0;750810.0;1.0;11887323000165;DIAS CONSTRUTORA LTDA;2024-06-11 07:08:56;2024-09-06 18:47:26;2024-09-06
98013905900982024;9801390590098202400027;04034583000122-1-000116/2024;04034583000122;Projeto e montagem de iluminação - residencial / comercial /artística;Projeto e Montagem de Iluminação - Residencial / Comercial /Artística;S;15296.0;UN;1.0;3500.47;3500.47;3099.0;3099.0;1.0;40216983000112;VIGORE ENGENHARIA LTDA;2024-11-01 07:41:12;2024-11-27 18:05:47;2024-11-27
98014703900012024;9801470390001202400001;01674973000179-1-000001/2024;01674973000179;Obras Civis de Pavimentação Asfáltica;Obras Civis de Pavimentação Asfáltica;S;1406.0;METRO QUADRADO;1.0;2170152.94;2170152.94;1990000.0;1990000.0;1.0;13721250000162;J.V.M DA MOTA LTDA;2024-06-14 07:02:07;2024-09-09 11:01:10;2024-09-09
98273305900132024;9827330590013202400079;12333753000106-1-000016/2024;12333753000106;Metoclopramida Cloridrato;METOCLOPRAMIDA CLORIDRATO, DOSAGEM 4 MG/ML, APRESENTAÇÃO SOLUÇÃO ORAL;M;267311.0;Frasco 100,00 ML;5000.0;1.84;9200.0;1.68;8400.0;5000.0;28013023000150;W D DISTRIBUIDORA E COMERCIO ATACADISTA DE MEDICAMENTOS LTDA;2024-10-24 07:59:58;2024-11-14 09:08:11;2024-11-14
98274905900072024;9827490590007202400045;12250908000132-1-000006/2024;12250908000132;Grampeador;Grampeador Tratamento Superficial: Niquelado , Material: Metal , Tipo: Mesa , Capacidade: 100 FL, Aplicação: Papel;M;203576.0;Caixa 50,00 UN;100.0;63.55;6355.0;62.9;6290.0;100.0;24174062000188;MACHADO ARMARINHOS LTDA;2024-09-25 07:57:05;2024-11-26 12:09:56;2024-11-26
98285303900082024;9828530390008202400001;12200168000120-1-000198/2024;12200168000120;Obras civis de saneamento - sistema de drenagem pluvial e industrial;Obras civis de saneamento - sistema de drenagem pluvial e industrial;S;1899.0;  UN;1.0;420862.76;420862.76;377400.0;377400.0;1.0;45828606000158;VANESSA M LIMA;2024-09-06 07:13:34;2024-10-24 11:54:55;2024-10-24
98288507000032024;9828850700003202400001;12332946000134-1-000006/2024;12332946000134;Apresentação Artística / Musical / Canto / Coral Apresentação Artística / Musical / Canto / Coral Apresentação artística do Cantor PABLO na Festa da Padroeira, dia 02/02/2024.;Apresentação Artística / Musical / Canto / Coral Apresentação Artística / Musical / Canto / Coral;S;15830.0;UNIDADE;1.0;200000.0;200000.0;200000.0;200000.0;1.0;26337395000106;AD PRODUCAO MUSICAL LTDA;2024-02-29 15:58:49;2024-02-29 15:58:51;2024-02-29
98020503000022024;9802050300002202400001;04530713000118-1-000007/2024;04530713000118;Obras Civis de Pavimentação Asfáltica;Obras Civis de Pavimentação Asfáltica CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENGENHARIA PARA CONCLUSÃO DA PAVIMENTAÇÃO EM CONCRETO EM VIA URBANA NO MUNICÍPIO DE ATALAIA DO NORTE/AM;S;1406.0;UNIDADE;1.0;6603620.93;6603620.93;6524578.47;6524578.47;1.0;36450495000106;W R ENGENHARIA E CONSULTORIA LTDA;2024-06-19 15:57:55;2024-09-09 15:53:19;2024-09-09
98022706000232024;9802270600023202400003;04263331000175-1-000013/2024;04263331000175;Manutenção de Equipamentos de Microfilmagem Manutenção de Equipamentos de Microfilmagem;Manutenção de Equipamentos de Microfilmagem Manutenção de Equipamentos de Microfilmagem;S;3522.0;UNIDADE;1.0;7800.0;7800.0;7800.0;7800.0;1.0;07023699000154;DMC COMERCIO E MANUTENCAO DE PRODUTOS HOSPITALARES LTDA;2024-05-29 17:34:13;2024-05-29 17:34:13;2024-05-29
98027703000032024;9802770300003202400001;04477634000190-1-000019/2024;04477634000190;Obras civis de pavimentação asfáltica;Obras civis de pavimentação asfáltica;S;1406.0;UNIDADE;1.0;1230361.97;1230361.97;1128000.0;1128000.0;1.0;17821538000160;BRASAO CONSTRUCOES E INSTALACOES LTDA;2024-08-14 15:22:42;2024-09-03 14:21:45;2024-09-03
98060505900562024;9806050590056202400003;05995766000177-1-000009/2024;05995766000177;Estação trabalho;ESTAÇÃO TRABALHO, TIPO MODULAR C/PAINEL DIVISOR, COMPONENTES 2 LUGARES,COMPRIMENTO 1,20 M, LARGURA 1,20 M, ALTURA 0,75 M, CARACTERÍSTICAS ADICIONAISSUPORTE PARA CPU/GAVETEIRO EMBUTIDO COM 3 GAVETAS, REVESTIMENTO LAMINADOMELAMÍNICO, COR MARFIM, ESPESSURA TAMPO 25 MM;M;390629.0;Unidade  ;38.0;2625.17;99756.46;1700.0;64600.0;38.0;27091260000176;AMAZON EMPREENDIMENTOS LTDA;2024-11-19 07:18:17;2024-12-17 11:19:16;2024-12-17
98346105900372024;9834610590037202400002;14222012000175-1-000023/2024;14222012000175;Locação de Veículos - Leves / Pesados;Locação do veículo tipo passeio, capacidade para 05 (cinco) lugares com motorista para atender linha COCOS/SANTA ROSA/CENTRO EDUCACIONAL DE ÁGUA DO CARMO/COCOS ( quantidade estimada de km por 12 (doze) meses e de 23.760 km);S;4014.0;UNIDADE;1.0;62964.0;62964.0;61776.0;61776.0;1.0;49817371000150;49.817.371 AUGUSTO LIMA NOBRE;2024-08-23 09:16:57;2024-09-12 14:29:02;2024-09-12
98355505900192024;9835550590019202400003;13846753000164-1-000025/2024;13846753000164;Locação de Máquinas de Escavação / Terraplenagem / Agrícola;Locação de Máquinas de Escavação / Terraplenagem / Agrícola;S;4030.0;  UN;2000.0;516.65;1033300.0;295.0;590000.0;2000.0;11343701000140;WM LOCADORA DE VEICULOS E SERVICOS LTDA;2024-09-05 07:08:43;2024-09-23 10:04:54;2024-09-23
98384703900272024;9838470390027202400001;13743281000114-1-000142/2024;13743281000114;Obras Civis de Parques e Praças;Obras Civis de Parques e Praças  O objeto da presente licitação é a CONSTRUÇÃO DE INFRAESTRUTURA TURÍSTICA NA ORLA DA PRAIA DO ARAÇÁ, NO MUNICÍPIO DE SALINAS DA MARGARIDA/BAHIA CONTRATO DE REPASSE Nº 950014/2023/MTUR/CAIXA, conforme condições, quantidades e exigências estabelecidas neste instrumento e seus anexos.;S;1350.0;  UN;1.0;2692024.88;2692024.88;1938257.83;1938257.83;1.0;20950946000126;NERGES CONSTRUCOES LTDA;2024-10-24 07:47:04;2024-11-28 13:16:52;2024-11-28
98389105900082024;9838910590008202400104;13696257000171-1-000004/2024;13696257000171;Base relé fotoelétrico iluminação;Base Relé Fotoelétrico Iluminação Tensão Nominal: 110/220 V, Corrente Nominal: 10 A, Tipo Montagem: Poste , Normas Técnicas: Nbr 5.123/82;M;213731.0;Unidade;800.0;2.9;2320.0;2.9;2320.0;800.0;48020276000168;FORT INDUSTRIA E COMERCIO DE MATERIAIS ELETRICOS LTDA;2024-07-24 07:04:31;2024-09-05 10:28:14;2024-09-05
98131903910062024;9813190391006202400001;07911696000157-1-000028/2024;07911696000157;Obras Civis de Pavimentação Asfáltica;Obras Civis de Pavimentação Asfáltica;S;1406.0;UNIDADE;1.0;3259658.06;3259658.06;2444425.58;2444425.58;1.0;74022229000163;AJ CONSTRUTORA E TRANSPORTE LTDA;2024-07-22 07:08:39;2024-09-10 10:26:30;2024-09-10
92774405902022024;9277440590202202400002;07954605000160-1-000477/2024;07954605000160;Locação de Veículos - Leves / Pesados;Locação de Veículos - Leves / Pesados;S;4014.0;UNIDADE;12.0;348279.96;4179359.52;340000.0;4080000.0;12.0;21765330000148;FORCE REPRESENTACAO COMERCIO E SERVICOS LTDA;2024-07-26 07:11:23;2024-09-13 12:52:09;2024-09-13
98125105900182024;9812510590018202400001;12359535000132-1-000027/2024;12359535000132;Promoção de Evento;Equipe de 03 animadores (palhaços)para fazer brincadeiras e danças com as crianças. Equipe de 03 animadores (palhaços)para fazer brincadeiras e danças com as crianças. serviço inclui monitor, translado e todos os insumos por aproximadamente 04 horas de uso.- Diária;S;14591.0;  UN;10.0;1423.33;14233.3;998.0;9980.0;10.0;40904276000119;TL EMPREENDIMENTOS & SERVICOS LTDA;2024-09-09 07:22:42;2024-10-22 15:38:39;2024-09-25
98125305900412024;9812530590041202400001;23555196000186-1-000040/2024;23555196000186;Endoscopia Digestiva Alta - Diagnóstica;Endoscopias digestivas alta diagnóstica.;S;7056.0;  UN;500.0;322.0;161000.0;300.0;150000.0;500.0;53462852000167;ALUGMED ALUGUEL DE EQUIPAMENTOS MEDICOS E SERVICOS DE ENDOSCOPIA LTDA;2024-09-20 07:13:02;2024-10-09 09:00:26;2024-10-09
